71,608,KION MOLIDO BATAN X 500 GR,LT057C7,100,23
73,609,OREGANO GRANULADO BATAN X 500 GR,LT0115C12,167,92
74,1101,AJI PANCA FRESCO BATAN X 24 SBS,LT544C12,208,93
74,1101,AJI PANCA FRESCO BATAN X 24 SBS,LT545C12,3433,94
78,1104,AJI PANCA FRESCO BATAN X 3 SBS,LT545C12,12,94
79,1111,AJI AMARILLO FRESCO BATAN X 3 SBS,LT535C8,100,95
79,1111,AJI AMARILLO FRESCO BATAN X 3 SBS,LT539C9,180,96
81,1112,AJO FRESCO BATAN X 3 SBS,LT542C10,64,97
81,1112,AJO FRESCO BATAN X 3 SBS,LT547C11,87,98
75,1114,AJI AMARILLO FRESCO BATAN X 24 SBS,LT549C12,745,99
77,1115,AJO FRESCO BATAN X 24 SBS,LT547C11,952,98
77,1115,AJO FRESCO BATAN X 24 SBS,LT550C12,1395,100
76,1116,CULANTRO FRESCO BATAN X 24 SBS,LT543C10,4,101
76,1116,CULANTRO FRESCO BATAN X 24 SBS,LT551C12,1590,102
80,1119,CULANTRO FRESCO BATAN X 3 SBS,LT537C8,157,103
80,1119,CULANTRO FRESCO BATAN X 3 SBS,LT540C9,180,104
82,1123,BATAN AJI PANCA FRESCO X 3 SBS,LT544C10,10530,105
82,1123,BATAN AJI PANCA FRESCO X 3 SBS,LT544C11,2700,106
82,1123,BATAN AJI PANCA FRESCO X 3 SBS,LT544C12,10970,93
83,1124,BATAN AJI AMARILLO FRESCO X 3 SBS,LT546C11,8110,107
83,1124,BATAN AJI AMARILLO FRESCO X 3 SBS,LT549C12,11700,99
84,1125,BATAN CULANTRO FRESCO X 3 SBS,LT548C11,17730,108
84,1125,BATAN CULANTRO FRESCO X 3 SBS,LT551C12,1830,102
439,1126,MIX TAPER FRESCOS BATAN X 24 SBS,LT303C12,99,109
92,1201,CANELA MOLIDA BATAN X 1 KG,LT0110C11,17,18
92,1201,CANELA MOLIDA BATAN X 1 KG,LT088C9,25,51
92,1201,CANELA MOLIDA BATAN X 1 KG,LT096C10,48,19
89,1202,COMINO MOLIDO BATAN X 1 KG,LT0105C11,21,24
90,1203,PIMIENTA NEGRA MOLIDA BATAN X 1 KG,LT0106C11,5,40
91,1204,AJO MOLIDO BATAN X 1 KG,LT0109C12,60,45
91,1204,AJO MOLIDO BATAN X 1 KG,LT061C7,26,78
93,1205,KION MOLIDO BATAN X 1 KG,LT057C7,33,23
94,1206,PIMIENTA BLANCA MOLIDA BATAN X 1 KG,LT075C7,1,64
96,1301,PIMIENTA BLANCA BATAN X 5 KG,LT006B1,2,110
96,1301,PIMIENTA BLANCA BATAN X 5 KG,LT075C7,2,64
95,1302,AJO MOLIDO BATAN X 5 KG,LT002C1,4,86
104,1601,CANELA MOLIDA FRASCO X 50 GRS,LT088C9,220,51
98,1602,COMINO MOLIDO FRASCO X 50 GRS,LT0105C11,143,24
98,1602,COMINO MOLIDO FRASCO X 50 GRS,LT079C8,83,38
99,1603,PIMIENTA NEGRA MOLIDA FRASCO X 50 GRS,LT077C8,141,111
99,1603,PIMIENTA NEGRA MOLIDA FRASCO X 50 GRS,LT098C10,85,52
101,1604,TUCO SAZON SALSA FRASCO X 70 GRS,LT024C3,24,112
